lookalike;node;direction;indexes
blc1;blc03;1;[2,4,7,9,15]
dr_-0.03_freq_933.342681;blc02;-1;[2,3,4,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1200.011914;blc04;-1;[1,2,3,4,5,7,8,9,11,12,13,14,15,16]
dr_-0.04_freq_1312.585393;blc05;-1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1333.346684;blc05;-1;[2,3,4,5,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1350.008112;blc06;1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1365.298917;blc06;1;[2,3,4,7,9,11,13,15,16]
dr_-0.04_freq_1398.598805;blc06;1;[2,4]
dr_-0.04_freq_1431.898859;blc06;1;[2,4,9,15,16]
dr_-0.04_freq_1485.008851;blc07;1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.04_freq_1498.498799;blc07;1;[2,3,4,7,9,10,11,12,13,14,15,16]
dr_-0.05_freq_1439.492719;blc06;-1;[0,1,2]
dr_-0.05_freq_1440.075719;blc06;-1;[0,1,2,3,4]
dr_-0.05_freq_1648.348679;blc10;-1;[2]
dr_-0.05_freq_1755.010495;blc11;-1;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.05_freq_1798.198613;blc11;-1;[0,2,4,5,7,9,11,13,14,15]
dr_-0.05_freq_1890.011349;blc12;-1;[2,3,4,7,9,10,13,15,16]
dr_-0.05_freq_1920.155980;blc12;-1;[0,2,3,4,5,7,8,9,10,11,13,15,16]
dr_-0.06_freq_1366.124356;blc06;-1;[0,1,2,3,4,5,7,8,9,10,11,13,15,16]
dr_-0.06_freq_1680.045601;blc10;-1;[2]
dr_-0.06_freq_1749.962494;blc11;-1;[0,2,3,4,7,8,9,10,11,12,13,14,15,16]
dr_-0.06_freq_1920.190296;blc12;-1;[2,3,4,7,9,10,11,13,15,16]
dr_-0.06_freq_2097.898373;blc13;-1;[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.06_freq_2283.223801;blc15;-1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.06_freq_2400.014489;blc16;-1;[2,3,4,5,7,8,9,10,11,12,13,14,15,16]
dr_-0.07_freq_2400.194919;blc16;-1;[1,2,3,4,6,7,8,9,10,11,12,13,14,15,16]
dr_-0.07_freq_2547.447902;blc17;-1;[2,3,4,7,9,11,13,15,16]
dr_-0.08_freq_2400.237953;blc16;-1;[2,3,4,7,8,9,10,11,12,13,14,15,16]
dr_0.02_freq_704.499339;blc01;1;[0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16]
dr_0.02_freq_717.345160;blc01;1;[1,2,4,7,11,15,16]
dr_0.02_freq_727.985186;blc01;1;[1,2,4,7,8,9,10,11,13,15,16]
dr_0.02_freq_732.599455;blc01;1;[1,2,3,4,6,7,8,9,12,13,15,16]
dr_0.02_freq_733.985201;blc01;1;[1,2,7,9,11,13,15,16]
dr_0.02_freq_741.985220;blc01;1;[0,2,3,4,7,9,11,13,15,16]
dr_0.02_freq_832.499339;blc02;1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_0.03_freq_736.864168;blc01;1;[0,1,2,3,4,5,6,7,9,10,11,12,13,15,16]
dr_0.03_freq_788.001170;blc01;1;[2,3,4,7,9,11,13,15,16]
dr_0.03_freq_789.985175;blc01;1;[2,3,4,7,9,11,13,15,16]
dr_0.03_freq_796.001189;blc01;1;[2,3,4,7,9,11,12,13,15,16]
dr_0.03_freq_799.199286;blc01;1;[0,1,2,3,4,5,6,7,8,9,10,11,13,14,15,16]
dr_0.03_freq_805.985213;blc01;1;[2,3,4,7,8,9,10,11,13,15,16]
dr_0.03_freq_810.550547;blc01;1;[2,3,5,6,7,9,11,13,15,16]
dr_0.03_freq_812.001284;blc01;1;[1,2,3,4,5,7,8,9,10,11,13,15,16]
dr_0.03_freq_813.985289;blc01;1;[2,3,4,7,8,9,11,13,15,16]
dr_0.03_freq_816.001238;blc01;1;[1,2,3,4,5,7,8,9,10,11,13,14,15,16]
dr_0.03_freq_817.985243;blc01;1;[2,3,4,8,9,11,13,15,16]
dr_0.03_freq_818.001242;blc01;1;[0,1,2,3,4,7,8,9,11,13,15,16]
dr_0.03_freq_818.017187;blc01;1;[2,3,4,8,9,11,14,15,16]
dr_0.03_freq_832.005774;blc02;1;[1,2,3,4,6,7,8,9,10,11,12,13,14,16]
dr_0.03_freq_856.001226;blc02;1;[2,3,4,7,8,9,11,12,13,15,16]
dr_0.03_freq_865.799281;blc02;1;[1,2,3,4,6,7,8,9,10,11,12,13,14,15,16]
dr_0.03_freq_899.099280;blc02;1;[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16]
dr_0.03_freq_960.005774;blc03;1;[2,3,4,7,8,9,10,11,13,14,15,16]
dr_0.03_freq_1065.599158;blc03;1;[2,3,4,7,8,9,10,11,13,15,16]
dr_0.03_freq_1098.899045;blc04;1;[2,3,4,7,9,11,13,15,16]
dr_0.03_freq_1198.799039;blc04;1;[2,3,4,7,12,13,15,16]
dr_0.03_freq_1320.107263;blc05;1;[2,4,5,7,8,13,15,16]
dr_0.04_freq_1062.001512;blc03;1;[2,3,4,7,9,11,12,13]
dr_0.04_freq_1298.698922;blc05;1;[2,3,4,9,15,16]
dr_0.04_freq_1466.681405;blc06;-1;[2,4,7,8,9,11,13,14,15,16]
dr_0.05_freq_1250.013833;blc05;1;[1,2,3,4,5,7,9,11,14,15,16]
dr_0.06_freq_1866.685360;blc12;-1;[1,2,3,4,5,6,7,8,9,11,13,14,16]